prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	1816	0	0	0	2	0	1	0	2039
12	E. coli	urine	1401	1411	1816	0	1	0	3	0	0	12	6666
12	E. coli	stool	1401	1411	1816	0	0	0	0	0	5	0	1884
12	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	2	1083
12	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	6
3	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	1	401
3	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	3	1464
3	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	517
3	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	1	191
3	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	1
16	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	524
16	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	1	1231
16	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	74
16	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	213
16	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	1
24	E. coli	respiratory	1401	1411	1816	1	0	0	1	0	0	0	645
24	E. coli	urine	1401	1411	1816	0	0	0	0	0	2	0	2258
24	E. coli	stool	1401	1411	1816	0	0	0	0	1	0	0	798
24	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	1	253
24	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	1
2	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	413
2	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	2	1941
2	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	27
2	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	253
2	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	0	459
45	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	0	1345
45	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	66
45	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	190
45	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	1
8	E. coli	respiratory	1401	1411	1816	0	0	0	1	0	0	0	521
8	E. coli	urine	1401	1411	1816	0	0	0	1	0	0	0	1336
8	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	204
8	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	179
8	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
14	E. coli	respiratory	1401	1411	1816	0	1	0	0	0	0	0	722
14	E. coli	urine	1401	1411	1816	0	1	0	0	0	0	1	2372
14	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	214
14	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	1	433
14	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	2
39	E. coli	respiratory	1401	1411	1816	0	0	0	0	0	0	2	467
39	E. coli	urine	1401	1411	1816	0	0	0	1	0	0	7	1681
39	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	164
39	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	298
39	E. coli	spinal	1401	1411	1816	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	1816	0	1	0	1	0	0	0	868
10	E. coli	urine	1401	1411	1816	0	0	0	0	0	0	0	1921
10	E. coli	stool	1401	1411	1816	0	0	0	0	0	0	0	316
10	E. coli	blood	1401	1411	1816	0	0	0	0	0	0	0	294
