prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
43	E. coli	urine	1401	1411	1661	0	0	0	0	0	1	60	1032
43	E. coli	stool	1401	1411	1661	1	0	0	0	0	0	9	133
43	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	12	315
43	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
15	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	35	432
15	E. coli	urine	1401	1411	1661	0	0	0	0	5	0	160	1696
15	E. coli	stool	1401	1411	1661	0	0	0	0	4	1	22	191
15	E. coli	blood	1401	1411	1661	0	1	0	1	0	0	27	285
15	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
6	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	22	71
6	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	51	641
6	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	0	30
6	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	11	127
6	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	12	108
47	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	43	467
47	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	2	24
47	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	3	54
47	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	68	715
26	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	286	3633
26	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	48	431
26	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	38	433
26	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	1
9	E. coli	respiratory	1401	1411	1661	0	0	0	1	0	0	84	487
9	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	201	1611
9	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	19	162
9	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	31	296
9	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
38	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	70	664
38	E. coli	urine	1401	1411	1661	0	1	0	2	1	0	201	2777
38	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	33	132
38	E. coli	blood	1401	1411	1661	0	0	0	1	0	0	25	388
38	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
1	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	258	2123
1	E. coli	urine	1401	1411	1661	0	0	0	0	2	0	582	6441
1	E. coli	stool	1401	1411	1661	1	0	0	0	1	0	175	1460
1	E. coli	blood	1401	1411	1661	0	0	0	1	1	0	86	1320
1	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	1	4
23	E. coli	respiratory	1401	1411	1661	1	0	0	7	2	0	74	435
23	E. coli	urine	1401	1411	1661	0	0	0	0	9	0	210	1825
23	E. coli	stool	1401	1411	1661	0	0	0	0	1	0	77	495
23	E. coli	blood	1401	1411	1661	0	0	0	0	1	0	36	317
23	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	33	284
36	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	151	1031
36	E. coli	stool	1401	1411	1661	0	0	0	0	1	0	13	56
36	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	29	184
36	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	82	359
22	E. coli	urine	1401	1411	1661	0	0	1	3	1	0	301	2325
