prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	2601	0	2	0	1	0	0	1	1015
12	E. coli	urine	1401	1411	2601	0	1	0	2	0	0	6	3287
12	E. coli	stool	1401	1411	2601	0	6	0	2	0	3	1	911
12	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	554
12	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
3	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	311
3	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	4	1111
3	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	316
3	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	4	186
3	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
16	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	380
16	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	1	972
16	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	48
16	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	153
16	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
24	E. coli	respiratory	1401	1411	2601	0	1	0	1	0	1	0	296
24	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	1	965
24	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	409
24	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	112
24	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
2	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	2	219
2	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	3	836
2	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	1
2	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	122
2	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	233
45	E. coli	urine	1401	1411	2601	0	1	0	0	0	0	1	505
45	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	49
45	E. coli	blood	1401	1411	2601	0	1	0	0	0	0	0	103
45	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	107
8	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	2	265
8	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	44
8	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	34
8	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	2
14	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	409
14	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	2	1282
14	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	98
14	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	272
14	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
39	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	199
39	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	0	670
39	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	43
39	E. coli	blood	1401	1411	2601	0	0	0	1	0	0	0	146
39	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	2601	0	0	0	1	0	0	0	550
10	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	2	1319
10	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	290
10	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	158
10	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
35	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	3	483
35	E. coli	urine	1401	1411	2601	0	1	0	0	0	0	4	1532
35	E. coli	stool	1401	1411	2601	0	1	0	0	0	0	0	199
35	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	344
35	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
4	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	11	356
4	E. coli	urine	1401	1411	2601	0	0	0	0	0	1	16	2062
4	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	1	91
4	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	187
4	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
41	E. coli	respiratory	1401	1411	2601	0	0	0	2	0	1	1	2424
41	E. coli	urine	1401	1411	2601	0	2	0	0	0	0	11	7699
41	E. coli	stool	1401	1411	2601	0	5	0	0	0	1	0	2013
41	E. coli	blood	1401	1411	2601	0	1	0	2	0	0	3	1294
41	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
19	E. coli	respiratory	1401	1411	2601	0	0	0	1	0	0	6	1341
19	E. coli	urine	1401	1411	2601	0	2	0	1	0	1	7	4084
19	E. coli	stool	1401	1411	2601	0	2	0	0	0	0	2	947
19	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	718
19	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	3
29	E. coli	respiratory	1401	1411	2601	0	0	0	1	0	0	2	252
29	E. coli	urine	1401	1411	2601	0	0	0	1	0	0	0	933
29	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	134
29	E. coli	blood	1401	1411	2601	0	1	0	0	0	0	0	172
29	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
43	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	120
43	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	509
43	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	60
43	E. coli	blood	1401	1411	2601	0	0	0	1	0	0	0	140
43	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
15	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	381
15	E. coli	urine	1401	1411	2601	0	0	0	2	0	0	0	1455
15	E. coli	stool	1401	1411	2601	0	1	0	0	0	0	0	169
15	E. coli	blood	1401	1411	2601	0	0	0	0	0	1	0	293
15	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
6	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	87
6	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	527
6	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	37
6	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	78
6	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	16
47	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	91
47	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	0
47	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	12
47	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	404
26	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	8	1977
26	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	1	254
26	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	249
26	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
9	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	2	251
9	E. coli	urine	1401	1411	2601	0	0	0	0	0	1	9	802
9	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	2	59
9	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	115
9	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
38	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	210
38	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	752
38	E. coli	stool	1401	1411	2601	1	0	0	0	0	0	0	61
38	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	116
38	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
1	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	2	2	1375
1	E. coli	urine	1401	1411	2601	0	1	0	0	0	2	13	4124
1	E. coli	stool	1401	1411	2601	0	1	0	0	0	1	7	1147
1	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	839
1	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
23	E. coli	respiratory	1401	1411	2601	0	1	0	0	0	0	0	285
23	E. coli	urine	1401	1411	2601	0	0	0	0	0	13	2	1260
23	E. coli	stool	1401	1411	2601	0	0	0	0	0	1	1	399
23	E. coli	blood	1401	1411	2601	0	0	0	0	0	1	2	182
23	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	244
36	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	2	827
36	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	1	64
36	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	191
36	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	150
22	E. coli	urine	1401	1411	2601	0	1	0	0	0	1	1	814
22	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	11
22	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	140
22	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
33	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	13	8	1302
33	E. coli	urine	1401	1411	2601	0	0	0	2	0	30	16	4817
33	E. coli	stool	1401	1411	2601	0	0	0	0	0	20	0	778
33	E. coli	blood	1401	1411	2601	0	0	0	0	0	1	2	889
33	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	2
13	E. coli	respiratory	1401	1411	2601	0	0	0	2	0	4	8	785
13	E. coli	urine	1401	1411	2601	0	0	0	0	0	18	29	3054
13	E. coli	stool	1401	1411	2601	0	0	0	2	0	1	6	146
13	E. coli	blood	1401	1411	2601	0	0	0	3	0	0	2	562
13	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
28	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	1	0	80
28	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	1	273
28	E. coli	stool	1401	1411	2601	0	0	0	0	0	1	0	3
28	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	48
28	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	1
44	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	1	0	164
44	E. coli	urine	1401	1411	2601	0	0	0	0	0	1	0	512
44	E. coli	stool	1401	1411	2601	0	0	0	0	0	1	0	176
44	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	69
44	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
42	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	117
42	E. coli	urine	1401	1411	2601	0	0	0	2	0	0	1	319
42	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	7
42	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	68
42	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
37	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	88
37	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	291
37	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	22
37	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	33
