prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	1266	0	0	1	1	0	0	985	1020
12	E. coli	urine	1401	1411	1266	0	1	1	2	0	0	2862	3725
12	E. coli	stool	1401	1411	1266	0	0	0	0	4	1	664	1154
12	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	396	645
12	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	2	4
3	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	159	211
3	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	469	899
3	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	224	281
3	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	58	130
3	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
16	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	277	214
16	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	491	710
16	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	19	55
16	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	70	137
16	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
24	E. coli	respiratory	1401	1411	1266	1	0	0	1	0	0	289	338
24	E. coli	urine	1401	1411	1266	0	0	0	0	2	0	875	1352
24	E. coli	stool	1401	1411	1266	0	0	0	0	0	1	296	466
24	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	99	144
24	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	0
2	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	180	218
2	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	740	1159
2	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	8	17
2	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	101	138
2	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	218	222
45	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	563	748
45	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	20	41
45	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	71	111
45	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	1266	0	0	0	1	0	0	251	240
8	E. coli	urine	1401	1411	1266	0	0	1	0	0	0	541	756
8	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	70	119
8	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	62	101
8	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
14	E. coli	respiratory	1401	1411	1266	0	1	0	0	0	0	376	309
14	E. coli	urine	1401	1411	1266	0	1	0	0	0	0	1065	1310
14	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	84	122
14	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	181	261
14	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	1
39	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	242	219
39	E. coli	urine	1401	1411	1266	0	0	0	1	0	0	684	960
39	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	65	93
39	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	103	179
39	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	1266	0	1	1	0	0	0	492	358
10	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	809	1071
10	E. coli	stool	1401	1411	1266	1	0	0	0	0	0	128	182
10	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	106	171
10	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
35	E. coli	respiratory	1401	1411	1266	0	0	0	1	0	0	583	447
35	E. coli	urine	1401	1411	1266	0	0	3	0	0	0	1833	2198
35	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	290	372
35	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	282	391
35	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
4	E. coli	respiratory	1401	1411	1266	2	0	1	0	1	0	658	532
4	E. coli	urine	1401	1411	1266	1	0	0	0	2	0	2170	2488
4	E. coli	stool	1401	1411	1266	2	0	0	0	1	0	294	396
4	E. coli	blood	1401	1411	1266	8	0	0	0	0	0	235	360
4	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	3
41	E. coli	respiratory	1401	1411	1266	2	0	0	0	0	0	2127	1788
41	E. coli	urine	1401	1411	1266	3	0	2	0	4	0	5629	6633
41	E. coli	stool	1401	1411	1266	7	0	1	0	5	1	1664	1231
41	E. coli	blood	1401	1411	1266	2	0	0	0	2	0	957	1097
41	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	4	2
19	E. coli	respiratory	1401	1411	1266	1	0	0	1	0	0	1125	1131
19	E. coli	urine	1401	1411	1266	2	0	2	1	0	0	3403	4174
19	E. coli	stool	1401	1411	1266	1	0	0	0	0	0	425	691
19	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	496	678
19	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	1	3
29	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	339	315
29	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	1008	1207
29	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	83	127
29	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	183	245
29	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
43	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	145	126
43	E. coli	urine	1401	1411	1266	0	0	0	0	0	1	500	594
43	E. coli	stool	1401	1411	1266	1	0	0	0	0	0	59	86
43	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	127	196
43	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
15	E. coli	respiratory	1401	1411	1266	2	0	0	0	0	0	255	192
15	E. coli	urine	1401	1411	1266	0	0	0	0	7	0	928	921
15	E. coli	stool	1401	1411	1266	0	0	0	0	4	1	103	125
15	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	144	156
15	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
6	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	53	46
6	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	259	426
6	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	7	20
6	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	60	81
6	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	76	91
47	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	257	361
47	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	21	46
47	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	23	54
47	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	388	395
26	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	1603	2359
26	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	211	276
26	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	172	292
26	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
9	E. coli	respiratory	1401	1411	1266	0	0	1	0	0	0	322	228
9	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	786	962
9	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	96	79
9	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	135	174
9	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
38	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	371	390
38	E. coli	urine	1401	1411	1266	1	0	0	2	0	1	1153	1842
38	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	95	81
38	E. coli	blood	1401	1411	1266	0	0	0	1	0	0	150	256
38	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
1	E. coli	respiratory	1401	1411	1266	1	0	0	0	0	0	1147	1231
1	E. coli	urine	1401	1411	1266	0	0	0	0	2	0	2807	4071
1	E. coli	stool	1401	1411	1266	1	0	0	0	1	1	801	769
1	E. coli	blood	1401	1411	1266	0	0	0	1	1	0	530	824
1	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	2	3
23	E. coli	respiratory	1401	1411	1266	1	0	6	1	2	0	314	231
23	E. coli	urine	1401	1411	1266	0	0	0	0	10	0	979	1179
23	E. coli	stool	1401	1411	1266	0	0	0	0	1	0	276	321
23	E. coli	blood	1401	1411	1266	0	0	0	0	1	0	146	211
23	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	148	106
36	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	506	454
36	E. coli	stool	1401	1411	1266	0	0	0	0	1	0	62	12
36	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	82	95
36	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	278	188
22	E. coli	urine	1401	1411	1266	0	0	2	2	1	0	1202	1435
22	E. coli	stool	1401	1411	1266	0	0	0	0	2	0	67	64
22	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	184	201
22	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
33	E. coli	respiratory	1401	1411	1266	0	1	2	0	15	11	1691	1003
33	E. coli	urine	1401	1411	1266	4	0	0	0	25	11	4830	4356
33	E. coli	stool	1401	1411	1266	2	0	0	0	10	4	736	639
33	E. coli	blood	1401	1411	1266	0	0	0	1	0	0	764	727
33	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	3	1
13	E. coli	respiratory	1401	1411	1266	0	0	0	0	9	0	697	475
13	E. coli	urine	1401	1411	1266	1	0	1	1	11	0	3021	2926
13	E. coli	stool	1401	1411	1266	1	0	1	1	1	0	159	117
13	E. coli	blood	1401	1411	1266	0	0	1	0	3	0	515	486
13	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	2	1
28	E. coli	respiratory	1401	1411	1266	0	0	0	0	4	0	142	103
28	E. coli	urine	1401	1411	1266	3	0	0	0	18	1	427	537
28	E. coli	stool	1401	1411	1266	1	0	0	0	5	0	40	29
28	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	68	69
