prefecture	species	specimen_type	drug1	drug2	SS	II	RR	XX_others	SR	RS	XY_others	within_drug1group_diff	within_drug2group_diff	within_drug1group_and_drug2group_diff
36	K. pneumoniae	urine	1401	1411	227	0	0	16	0	1	2	0	0	0
36	K. pneumoniae	stool	1401	1411	4	0	1	2	0	0	3	0	0	0
36	K. pneumoniae	blood	1401	1411	90	0	0	2	0	0	0	0	0	0
36	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
22	K. pneumoniae	respiratory	1401	1411	639	0	2	207	1	0	8	0	0	0
22	K. pneumoniae	urine	1401	1411	449	1	4	136	1	6	17	0	0	0
22	K. pneumoniae	stool	1401	1411	33	0	0	2	1	0	0	0	0	0
22	K. pneumoniae	blood	1401	1411	136	0	1	38	0	0	0	0	0	0
22	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
33	K. pneumoniae	respiratory	1401	1411	3291	0	2	49	16	2	14	0	0	0
33	K. pneumoniae	urine	1401	1411	1952	0	3	34	16	4	5	0	0	0
33	K. pneumoniae	stool	1401	1411	373	0	9	0	5	0	3	0	0	0
33	K. pneumoniae	blood	1401	1411	664	0	0	30	4	0	7	0	0	0
33	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
13	K. pneumoniae	respiratory	1401	1411	1768	0	1	37	8	0	8	0	0	0
13	K. pneumoniae	urine	1401	1411	1189	0	4	13	6	1	5	0	0	0
13	K. pneumoniae	stool	1401	1411	57	0	0	0	0	0	1	0	0	0
13	K. pneumoniae	blood	1401	1411	373	0	0	7	5	0	1	0	0	0
13	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
28	K. pneumoniae	respiratory	1401	1411	198	0	0	24	0	0	0	0	0	0
28	K. pneumoniae	urine	1401	1411	135	0	0	16	1	0	2	0	0	0
28	K. pneumoniae	stool	1401	1411	4	0	0	0	1	0	0	0	0	0
28	K. pneumoniae	blood	1401	1411	32	0	0	2	0	0	0	0	0	0
28	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
44	K. pneumoniae	respiratory	1401	1411	334	0	0	2	0	0	0	0	0	0
44	K. pneumoniae	urine	1401	1411	216	0	0	1	0	2	1	0	0	0
44	K. pneumoniae	stool	1401	1411	66	0	2	0	0	1	0	0	0	0
44	K. pneumoniae	blood	1401	1411	61	0	0	0	0	0	0	0	0	0
44	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
42	K. pneumoniae	respiratory	1401	1411	269	0	0	0	0	0	4	0	0	0
42	K. pneumoniae	urine	1401	1411	108	0	0	0	0	1	1	0	0	0
42	K. pneumoniae	stool	1401	1411	4	0	0	0	0	0	0	0	0	0
42	K. pneumoniae	blood	1401	1411	40	0	0	0	0	0	0	0	0	0
42	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
37	K. pneumoniae	respiratory	1401	1411	424	0	0	0	0	0	4	0	0	0
37	K. pneumoniae	urine	1401	1411	199	0	0	0	0	0	0	0	0	0
37	K. pneumoniae	stool	1401	1411	5	0	0	0	0	0	0	0	0	0
37	K. pneumoniae	blood	1401	1411	55	0	0	0	0	0	0	0	0	0
37	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
31	K. pneumoniae	respiratory	1401	1411	901	1	2	0	8	0	14	0	0	0
31	K. pneumoniae	urine	1401	1411	473	1	1	0	0	1	9	0	0	0
31	K. pneumoniae	stool	1401	1411	160	3	3	0	5	0	6	0	0	0
31	K. pneumoniae	blood	1401	1411	140	0	0	0	0	0	0	0	0	0
31	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
11	K. pneumoniae	respiratory	1401	1411	946	0	1	13	2	1	23	0	0	0
11	K. pneumoniae	urine	1401	1411	642	0	0	1	2	0	5	0	0	0
11	K. pneumoniae	stool	1401	1411	68	0	0	0	0	0	0	0	0	0
11	K. pneumoniae	blood	1401	1411	185	0	0	1	0	0	1	0	0	0
11	K. pneumoniae	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
46	K. pneumoniae	respiratory	1401	1411	880	0	0	10	0	0	2	0	0	0
46	K. pneumoniae	urine	1401	1411	393	0	0	7	0	0	0	0	0	0
46	K. pneumoniae	stool	1401	1411	65	0	0	0	1	0	1	0	0	0
46	K. pneumoniae	blood	1401	1411	84	0	0	5	0	0	0	0	0	0
46	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
40	K. pneumoniae	respiratory	1401	1411	339	0	0	24	0	0	0	0	0	0
40	K. pneumoniae	urine	1401	1411	108	0	0	5	0	0	0	0	0	0
40	K. pneumoniae	stool	1401	1411	32	0	0	1	0	0	0	0	0	0
40	K. pneumoniae	blood	1401	1411	46	0	0	0	0	0	0	0	0	0
40	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
17	K. pneumoniae	respiratory	1401	1411	537	0	1	0	0	0	0	0	0	0
17	K. pneumoniae	urine	1401	1411	219	0	0	0	0	0	3	0	0	0
17	K. pneumoniae	stool	1401	1411	109	0	0	0	0	0	4	0	0	0
17	K. pneumoniae	blood	1401	1411	62	0	0	0	0	0	0	0	0	0
17	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
5	K. pneumoniae	respiratory	1401	1411	452	1	0	59	0	1	1	0	0	0
5	K. pneumoniae	urine	1401	1411	173	0	0	12	1	0	1	0	0	0
5	K. pneumoniae	stool	1401	1411	30	0	0	11	0	0	0	0	0	0
5	K. pneumoniae	blood	1401	1411	94	0	0	7	0	0	0	0	0	0
5	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
20	K. pneumoniae	respiratory	1401	1411	313	0	0	0	1	2	0	0	0	0
20	K. pneumoniae	urine	1401	1411	171	0	0	0	2	0	1	0	0	0
20	K. pneumoniae	stool	1401	1411	60	0	0	0	0	0	0	0	0	0
20	K. pneumoniae	blood	1401	1411	53	0	0	0	0	0	0	0	0	0
20	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
7	K. pneumoniae	respiratory	1401	1411	3202	3	6	33	2	0	16	0	0	0
7	K. pneumoniae	urine	1401	1411	1408	2	2	11	1	0	6	0	0	0
7	K. pneumoniae	stool	1401	1411	416	0	8	2	2	0	11	0	0	0
7	K. pneumoniae	blood	1401	1411	359	0	0	0	2	0	1	0	0	0
7	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
34	K. pneumoniae	respiratory	1401	1411	245	0	0	0	1	0	1	0	0	0
34	K. pneumoniae	urine	1401	1411	82	0	0	0	0	0	1	0	0	0
34	K. pneumoniae	stool	1401	1411	57	0	1	0	1	0	1	0	0	0
34	K. pneumoniae	blood	1401	1411	25	0	0	0	0	0	1	0	0	0
34	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
27	K. pneumoniae	respiratory	1401	1411	316	2	3	9	0	0	1	0	0	0
27	K. pneumoniae	urine	1401	1411	179	0	0	2	0	0	1	0	0	0
27	K. pneumoniae	stool	1401	1411	7	2	1	0	0	0	0	0	0	0
27	K. pneumoniae	blood	1401	1411	54	0	0	0	1	0	1	0	0	0
27	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
21	K. pneumoniae	respiratory	1401	1411	686	0	0	0	0	0	3	0	0	0
21	K. pneumoniae	urine	1401	1411	381	0	0	0	1	0	0	0	0	0
21	K. pneumoniae	stool	1401	1411	37	0	0	0	0	0	0	0	0	0
21	K. pneumoniae	blood	1401	1411	89	0	1	0	0	0	1	0	0	0
21	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
30	K. pneumoniae	respiratory	1401	1411	404	0	0	47	0	1	2	0	0	0
30	K. pneumoniae	urine	1401	1411	223	0	0	13	1	0	2	0	0	0
30	K. pneumoniae	stool	1401	1411	15	0	0	2	0	0	0	0	0	0
30	K. pneumoniae	blood	1401	1411	56	0	0	3	0	0	0	0	0	0
30	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
25	K. pneumoniae	respiratory	1401	1411	223	0	0	0	0	0	1	0	0	0
25	K. pneumoniae	urine	1401	1411	104	0	0	0	0	0	0	0	0	0
25	K. pneumoniae	stool	1401	1411	13	0	0	0	0	0	0	0	0	0
25	K. pneumoniae	blood	1401	1411	31	0	0	0	0	0	0	0	0	0
25	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
18	K. pneumoniae	respiratory	1401	1411	510	0	4	2	1	1	2	0	0	0
18	K. pneumoniae	urine	1401	1411	205	0	0	0	0	1	2	0	0	0
18	K. pneumoniae	stool	1401	1411	128	0	0	0	0	1	0	0	0	0
18	K. pneumoniae	blood	1401	1411	99	0	2	0	0	0	0	0	0	0
18	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
32	K. pneumoniae	respiratory	1401	1411	1145	0	0	16	0	0	21	0	0	0
32	K. pneumoniae	urine	1401	1411	832	0	2	12	0	2	7	0	0	0
32	K. pneumoniae	stool	1401	1411	1	0	0	0	0	0	0	0	0	0
32	K. pneumoniae	blood	1401	1411	218	0	2	3	0	0	3	0	0	0
32	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
