prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
12	E. coli	respiratory	1401	1411	1661	1	0	0	0	0	1	174	1359
12	E. coli	urine	1401	1411	1661	0	0	1	3	0	0	492	4376
12	E. coli	stool	1401	1411	1661	6	4	0	2	4	1	135	1476
12	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	118	792
12	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	4
3	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	33	328
3	E. coli	urine	1401	1411	1661	0	0	0	1	0	0	92	1122
3	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	43	485
3	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	14	200
3	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
16	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	71	486
16	E. coli	urine	1401	1411	1661	1	0	0	1	0	0	114	1128
16	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	20	47
16	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	9	160
16	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
24	E. coli	respiratory	1401	1411	1661	0	1	0	2	0	1	49	395
24	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	99	1226
24	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	40	508
24	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	3	147
24	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
2	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	38	352
2	E. coli	urine	1401	1411	1661	0	0	0	0	0	0	96	1458
2	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	4	25
2	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	18	202
2	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	26	312
45	E. coli	urine	1401	1411	1661	1	0	0	0	0	0	45	830
45	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	3	56
45	E. coli	blood	1401	1411	1661	1	0	0	0	0	0	15	139
45	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	1661	0	0	0	1	0	0	35	422
8	E. coli	urine	1401	1411	1661	1	0	0	0	0	0	107	960
8	E. coli	stool	1401	1411	1661	0	0	0	1	0	1	13	261
8	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	9	97
8	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	3
14	E. coli	respiratory	1401	1411	1661	0	0	0	0	0	0	95	469
14	E. coli	urine	1401	1411	1661	0	0	1	0	0	0	176	1360
14	E. coli	stool	1401	1411	1661	0	0	0	0	0	0	10	113
14	E. coli	blood	1401	1411	1661	0	0	0	0	0	0	22	285
14	E. coli	spinal	1401	1411	1661	0	0	0	0	0	0	0	0
39	E. coli	respiratory	1401	1411	1661	0	0	0	1	0	1	41	248
39	E. coli	urine	1401	1411	1661	0	0	0	1	0	0	96	1038
39	E. coli	stool	1401	1411	1661	0	0	0	0	1	0	25	108
