prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
6	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	17	40
6	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	44	94
6	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	90	74
47	E. coli	urine	1401	1411	1266	1	0	0	0	0	0	219	285
47	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	20	36
47	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	27	27
47	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	363	348
26	E. coli	urine	1401	1411	1266	0	0	0	2	0	0	1251	1817
26	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	171	274
26	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	133	232
26	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
9	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	309	200
9	E. coli	urine	1401	1411	1266	0	0	0	0	0	1	639	824
9	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	71	68
9	E. coli	blood	1401	1411	1266	1	0	0	0	0	0	101	162
9	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
38	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	252	354
38	E. coli	urine	1401	1411	1266	0	0	0	0	0	0	782	1437
38	E. coli	stool	1401	1411	1266	1	0	0	0	0	0	97	71
38	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	108	196
38	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	2
1	E. coli	respiratory	1401	1411	1266	0	0	0	0	2	0	1010	1158
1	E. coli	urine	1401	1411	1266	1	0	0	1	2	0	2550	3617
1	E. coli	stool	1401	1411	1266	4	0	0	0	1	0	774	1037
1	E. coli	blood	1401	1411	1266	0	0	0	1	0	0	490	744
1	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	1
23	E. coli	respiratory	1401	1411	1266	1	0	0	0	1	0	273	224
23	E. coli	urine	1401	1411	1266	0	0	0	0	18	0	863	920
23	E. coli	stool	1401	1411	1266	1	0	1	0	5	1	242	321
23	E. coli	blood	1401	1411	1266	0	0	0	0	1	0	153	187
23	E. coli	spinal	1401	1411	1266	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	1266	0	0	0	0	0	0	113	98
36	E. coli	urine	1401	1411	1266	0	0	1	0	0	0	415	437
36	E. coli	stool	1401	1411	1266	0	0	0	0	0	0	48	22
36	E. coli	blood	1401	1411	1266	0	0	0	0	0	0	85	104
