prefecture	species	specimen_type	drug1	drug2	SS	II	RR	XX_others	SR	RS	XY_others	within_drug1group_diff	within_drug2group_diff	within_drug1group_and_drug2group_diff
12	E. coli	respiratory	1401	1411	2127	0	0	7	1	2	2	0	0	0
12	E. coli	urine	1401	1411	6954	0	1	22	0	3	7	0	0	0
12	E. coli	stool	1401	1411	1909	0	0	1	5	0	2	0	0	0
12	E. coli	blood	1401	1411	1110	0	0	6	0	0	0	0	0	0
12	E. coli	spinal	1401	1411	6	0	0	0	0	0	0	0	0	0
3	E. coli	respiratory	1401	1411	402	0	0	0	0	0	0	0	0	0
3	E. coli	urine	1401	1411	1469	0	0	0	0	0	3	0	0	0
3	E. coli	stool	1401	1411	517	0	0	0	0	0	1	0	0	0
3	E. coli	blood	1401	1411	193	0	0	0	0	0	0	0	0	0
3	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
16	E. coli	respiratory	1401	1411	524	0	0	0	0	0	1	0	0	0
16	E. coli	urine	1401	1411	1233	0	0	0	0	0	2	0	0	0
16	E. coli	stool	1401	1411	74	0	0	0	0	0	0	0	0	0
16	E. coli	blood	1401	1411	213	0	0	0	0	0	0	0	0	0
16	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
24	E. coli	respiratory	1401	1411	646	0	1	3	0	1	0	0	0	0
24	E. coli	urine	1401	1411	2291	0	0	27	2	0	5	0	0	0
24	E. coli	stool	1401	1411	802	0	0	0	1	0	0	0	0	0
24	E. coli	blood	1401	1411	255	0	0	5	0	0	3	0	0	0
24	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
2	E. coli	respiratory	1401	1411	413	0	0	0	0	0	0	0	0	0
2	E. coli	urine	1401	1411	1945	0	0	0	0	0	0	0	0	0
2	E. coli	stool	1401	1411	27	0	0	0	0	0	0	0	0	0
2	E. coli	blood	1401	1411	253	0	0	0	0	0	0	0	0	0
2	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
45	E. coli	respiratory	1401	1411	461	0	0	0	0	0	1	0	0	0
45	E. coli	urine	1401	1411	1347	0	0	0	0	0	0	0	0	0
45	E. coli	stool	1401	1411	66	0	0	0	0	0	0	0	0	0
45	E. coli	blood	1401	1411	191	0	0	0	0	0	0	0	0	0
45	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
8	E. coli	respiratory	1401	1411	522	0	0	0	0	1	1	0	0	0
8	E. coli	urine	1401	1411	1338	0	0	0	0	1	0	0	0	0
8	E. coli	stool	1401	1411	204	0	0	0	0	0	0	0	0	0
8	E. coli	blood	1401	1411	179	0	0	0	0	0	1	0	0	0
8	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
14	E. coli	respiratory	1401	1411	793	0	1	0	0	1	1	0	0	0
14	E. coli	urine	1401	1411	2568	0	1	0	0	0	2	0	0	0
14	E. coli	stool	1401	1411	226	0	0	0	0	0	3	0	0	0
14	E. coli	blood	1401	1411	467	0	0	0	0	0	0	0	0	0
14	E. coli	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
39	E. coli	respiratory	1401	1411	469	0	0	0	0	0	1	0	0	0
39	E. coli	urine	1401	1411	1689	0	0	0	0	1	0	0	0	0
39	E. coli	stool	1401	1411	164	0	0	0	0	0	0	0	0	0
39	E. coli	blood	1401	1411	298	0	0	0	0	0	0	0	0	0
39	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
10	E. coli	respiratory	1401	1411	879	0	1	1	0	1	0	0	0	0
10	E. coli	urine	1401	1411	1932	0	0	0	0	0	0	0	0	0
10	E. coli	stool	1401	1411	318	0	1	1	0	0	0	0	0	0
10	E. coli	blood	1401	1411	298	0	0	0	0	0	0	0	0	0
10	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
35	E. coli	respiratory	1401	1411	1055	0	0	0	0	1	1	0	0	0
35	E. coli	urine	1401	1411	4149	0	0	0	0	3	1	0	0	0
35	E. coli	stool	1401	1411	674	0	0	0	0	0	0	0	0	0
35	E. coli	blood	1401	1411	710	0	0	0	0	0	0	0	0	0
35	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
4	E. coli	respiratory	1401	1411	1281	0	2	0	1	1	1	0	0	0
4	E. coli	urine	1401	1411	5063	0	1	0	2	0	4	0	0	0
4	E. coli	stool	1401	1411	723	0	2	0	1	0	1	0	0	0
4	E. coli	blood	1401	1411	681	0	8	0	0	0	0	0	0	0
4	E. coli	spinal	1401	1411	5	0	0	0	0	0	0	0	0	0
41	E. coli	respiratory	1401	1411	4109	0	2	0	0	0	2	0	0	0
41	E. coli	urine	1401	1411	13201	0	3	0	4	3	13	0	0	0
41	E. coli	stool	1401	1411	3011	4	7	0	6	1	23	0	0	0
41	E. coli	blood	1401	1411	2235	0	2	0	2	0	5	0	0	0
41	E. coli	spinal	1401	1411	6	0	0	0	0	0	0	0	0	0
19	E. coli	respiratory	1401	1411	2472	0	1	0	0	1	2	0	0	0
19	E. coli	urine	1401	1411	8102	0	3	0	0	3	4	0	0	0
19	E. coli	stool	1401	1411	1203	0	1	0	0	0	1	0	0	0
19	E. coli	blood	1401	1411	1277	0	1	0	0	0	1	0	0	0
19	E. coli	spinal	1401	1411	4	0	0	0	0	0	0	0	0	0
29	E. coli	respiratory	1401	1411	700	1	0	0	0	0	0	0	0	0
29	E. coli	urine	1401	1411	2384	0	0	0	0	0	0	0	0	0
29	E. coli	stool	1401	1411	230	0	0	0	0	0	0	0	0	0
29	E. coli	blood	1401	1411	461	0	1	0	0	0	1	0	0	0
29	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
43	E. coli	respiratory	1401	1411	277	0	0	0	0	0	0	0	0	0
43	E. coli	urine	1401	1411	1135	0	0	0	1	0	4	0	0	0
43	E. coli	stool	1401	1411	148	0	1	0	0	0	0	0	0	0
43	E. coli	blood	1401	1411	336	0	0	0	0	0	1	0	0	0
43	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
15	E. coli	respiratory	1401	1411	497	0	2	0	0	0	7	0	0	0
15	E. coli	urine	1401	1411	2012	0	0	0	7	0	99	0	0	0
15	E. coli	stool	1401	1411	236	0	0	0	5	0	0	0	0	0
15	E. coli	blood	1401	1411	333	0	1	0	0	1	8	0	0	0
15	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
6	E. coli	respiratory	1401	1411	100	0	0	0	0	0	0	0	0	0
6	E. coli	urine	1401	1411	711	0	0	10	0	0	0	0	0	0
6	E. coli	stool	1401	1411	30	0	0	3	0	0	0	0	0	0
6	E. coli	blood	1401	1411	143	0	0	2	0	0	0	0	0	0
6	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	185	0	0	0	0	0	0	0	0	0
47	E. coli	urine	1401	1411	652	0	0	0	0	0	1	0	0	0
47	E. coli	stool	1401	1411	74	0	0	0	0	0	0	0	0	0
47	E. coli	blood	1401	1411	82	0	0	0	0	0	0	0	0	0
47	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	813	0	0	0	0	0	1	0	0	0
26	E. coli	urine	1401	1411	4089	0	0	0	0	0	4	0	0	0
26	E. coli	stool	1401	1411	501	0	0	0	0	0	0	0	0	0
26	E. coli	blood	1401	1411	488	0	0	0	0	0	0	0	0	0
26	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
9	E. coli	respiratory	1401	1411	626	4	0	5	0	1	1	0	0	0
9	E. coli	urine	1401	1411	1964	1	0	47	0	0	2	0	0	0
9	E. coli	stool	1401	1411	188	0	0	0	0	0	1	0	0	0
9	E. coli	blood	1401	1411	339	0	0	0	0	0	0	0	0	0
9	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
38	E. coli	respiratory	1401	1411	773	0	0	1	0	0	0	0	0	0
38	E. coli	urine	1401	1411	3080	1	1	8	1	2	5	0	0	0
38	E. coli	stool	1401	1411	178	0	0	0	0	0	0	0	0	0
38	E. coli	blood	1401	1411	427	0	0	1	0	1	0	0	0	0
38	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
1	E. coli	respiratory	1401	1411	2544	0	1	10	0	0	4	0	0	0
1	E. coli	urine	1401	1411	7367	0	0	0	2	0	3	0	0	0
1	E. coli	stool	1401	1411	1735	0	1	0	2	0	3	0	0	0
1	E. coli	blood	1401	1411	1463	0	0	0	1	1	0	0	0	0
1	E. coli	spinal	1401	1411	5	0	0	0	0	0	0	0	0	0
23	E. coli	respiratory	1401	1411	570	0	1	0	2	7	0	0	0	0
23	E. coli	urine	1401	1411	2238	0	0	0	11	0	0	0	0	0
23	E. coli	stool	1401	1411	615	0	0	0	1	0	1	0	0	0
23	E. coli	blood	1401	1411	377	0	0	0	1	0	0	0	0	0
23	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	363	0	0	0	0	0	0	0	0	0
36	E. coli	urine	1401	1411	1352	0	0	0	0	0	1	0	0	0
36	E. coli	stool	1401	1411	80	0	0	0	1	0	0	0	0	0
36	E. coli	blood	1401	1411	241	0	0	0	0	0	0	0	0	0
36	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	512	0	0	57	0	0	0	0	0	0
22	E. coli	urine	1401	1411	2824	0	0	396	1	4	7	0	0	0
22	E. coli	stool	1401	1411	139	0	0	7	2	0	0	0	0	0
22	E. coli	blood	1401	1411	433	0	1	25	0	0	0	0	0	0
22	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
33	E. coli	respiratory	1401	1411	2808	0	1	0	26	2	5	0	0	0
33	E. coli	urine	1401	1411	9595	1	4	0	36	0	13	0	0	0
33	E. coli	stool	1401	1411	1427	1	2	0	14	0	6	0	0	0
33	E. coli	blood	1401	1411	1632	1	0	0	0	1	4	0	0	0
33	E. coli	spinal	1401	1411	5	0	0	0	0	0	0	0	0	0
13	E. coli	respiratory	1401	1411	1262	0	0	18	9	0	2	0	0	0
13	E. coli	urine	1401	1411	6235	0	1	98	14	2	8	0	0	0
13	E. coli	stool	1401	1411	285	1	1	0	1	2	3	0	0	0
13	E. coli	blood	1401	1411	1048	0	0	23	4	1	0	0	0	0
13	E. coli	spinal	1401	1411	4	0	0	0	0	0	0	0	0	0
28	E. coli	respiratory	1401	1411	253	0	0	0	4	0	0	0	0	0
28	E. coli	urine	1401	1411	1134	0	3	3	19	0	2	0	0	0
28	E. coli	stool	1401	1411	71	0	1	0	5	0	2	0	0	0
28	E. coli	blood	1401	1411	147	0	0	0	0	0	0	0	0	0
28	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
44	E. coli	respiratory	1401	1411	234	0	0	0	0	0	0	0	0	0
44	E. coli	urine	1401	1411	1025	0	0	0	2	1	1	0	0	0
44	E. coli	stool	1401	1411	148	0	1	0	0	0	1	0	0	0
44	E. coli	blood	1401	1411	142	0	0	0	0	0	0	0	0	0
44	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
42	E. coli	respiratory	1401	1411	247	0	0	0	0	0	0	0	0	0
42	E. coli	urine	1401	1411	918	0	0	0	0	0	0	0	0	0
42	E. coli	stool	1401	1411	22	0	0	0	0	0	0	0	0	0
42	E. coli	blood	1401	1411	106	0	0	0	0	0	0	0	0	0
42	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
37	E. coli	respiratory	1401	1411	325	0	0	0	0	0	0	0	0	0
37	E. coli	urine	1401	1411	1205	0	0	0	0	0	0	0	0	0
37	E. coli	stool	1401	1411	125	0	0	0	0	0	0	0	0	0
37	E. coli	blood	1401	1411	213	0	0	0	0	0	0	0	0	0
37	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
31	E. coli	respiratory	1401	1411	726	0	0	0	0	0	0	0	0	0
31	E. coli	urine	1401	1411	2502	0	0	0	1	1	1	0	0	0
31	E. coli	stool	1401	1411	718	0	0	0	7	0	3	0	0	0
31	E. coli	blood	1401	1411	363	0	0	0	1	0	1	0	0	0
31	E. coli	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
11	E. coli	respiratory	1401	1411	757	0	1	1	1	0	2	0	0	0
11	E. coli	urine	1401	1411	3475	0	1	0	19	1	10	0	0	0
11	E. coli	stool	1401	1411	327	0	2	1	1	0	0	0	0	0
11	E. coli	blood	1401	1411	490	0	0	0	0	0	0	0	0	0
11	E. coli	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
46	E. coli	respiratory	1401	1411	838	0	1	10	0	0	3	0	0	0
46	E. coli	urine	1401	1411	2536	0	0	42	1	0	12	0	0	0
46	E. coli	stool	1401	1411	521	0	1	0	0	1	0	0	0	0
46	E. coli	blood	1401	1411	256	0	1	14	0	0	0	0	0	0
46	E. coli	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
40	E. coli	respiratory	1401	1411	325	0	0	0	0	0	0	0	0	0
40	E. coli	urine	1401	1411	642	0	0	0	0	1	0	0	0	0
40	E. coli	stool	1401	1411	294	0	0	0	0	0	0	0	0	0
40	E. coli	blood	1401	1411	104	0	0	0	0	0	0	0	0	0
40	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
17	E. coli	respiratory	1401	1411	495	0	0	0	0	0	0	0	0	0
17	E. coli	urine	1401	1411	1492	0	0	0	1	1	2	0	0	0
17	E. coli	stool	1401	1411	701	0	0	0	0	0	1	0	0	0
17	E. coli	blood	1401	1411	223	0	0	0	0	0	1	0	0	0
17	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
5	E. coli	respiratory	1401	1411	408	0	0	22	0	0	1	0	0	0
5	E. coli	urine	1401	1411	1083	0	0	59	0	1	5	0	0	0
5	E. coli	stool	1401	1411	233	0	0	9	0	0	0	0	0	0
5	E. coli	blood	1401	1411	216	0	0	6	0	0	0	0	0	0
5	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
20	E. coli	respiratory	1401	1411	255	0	0	0	2	0	1	0	0	0
20	E. coli	urine	1401	1411	968	0	0	0	3	0	0	0	0	0
20	E. coli	stool	1401	1411	196	0	0	0	2	0	0	0	0	0
20	E. coli	blood	1401	1411	129	0	0	0	0	0	0	0	0	0
20	E. coli	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
7	E. coli	respiratory	1401	1411	2464	1	0	0	1	0	0	0	0	0
7	E. coli	urine	1401	1411	6739	0	0	1	1	0	6	0	0	0
7	E. coli	stool	1401	1411	1945	0	2	0	4	3	8	0	0	0
7	E. coli	blood	1401	1411	848	0	0	0	0	0	1	0	0	0
7	E. coli	spinal	1401	1411	6	0	0	0	0	0	0	0	0	0
34	E. coli	respiratory	1401	1411	276	0	0	0	0	0	0	0	0	0
34	E. coli	urine	1401	1411	738	0	0	0	0	0	0	0	0	0
34	E. coli	stool	1401	1411	281	0	0	0	0	0	1	0	0	0
34	E. coli	blood	1401	1411	76	0	0	0	0	0	0	0	0	0
34	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
27	E. coli	respiratory	1401	1411	415	0	1	0	0	0	2	0	0	0
27	E. coli	urine	1401	1411	1498	0	0	0	0	0	0	0	0	0
27	E. coli	stool	1401	1411	198	0	0	0	0	0	1	0	0	0
27	E. coli	blood	1401	1411	290	0	0	0	0	1	0	0	0	0
27	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
21	E. coli	respiratory	1401	1411	543	0	0	0	0	0	30	0	0	0
21	E. coli	urine	1401	1411	2382	0	0	0	0	0	75	0	0	0
21	E. coli	stool	1401	1411	275	0	0	0	0	0	8	0	0	0
21	E. coli	blood	1401	1411	290	0	0	0	0	0	11	0	0	0
21	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
30	E. coli	respiratory	1401	1411	493	0	0	0	0	0	0	0	0	0
30	E. coli	urine	1401	1411	1288	0	0	3	0	0	2	0	0	0
30	E. coli	stool	1401	1411	95	0	0	0	0	0	0	0	0	0
30	E. coli	blood	1401	1411	145	0	0	0	0	0	0	0	0	0
30	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
25	E. coli	respiratory	1401	1411	199	0	0	0	0	0	2	0	0	0
25	E. coli	urine	1401	1411	787	0	0	0	0	0	3	0	0	0
25	E. coli	stool	1401	1411	88	0	0	0	0	0	0	0	0	0
25	E. coli	blood	1401	1411	89	0	0	0	0	0	0	0	0	0
25	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
18	E. coli	respiratory	1401	1411	370	0	0	0	0	0	0	0	0	0
18	E. coli	urine	1401	1411	1175	0	0	0	0	1	0	0	0	0
18	E. coli	stool	1401	1411	223	0	0	0	0	0	0	0	0	0
18	E. coli	blood	1401	1411	252	0	0	0	0	0	0	0	0	0
18	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
32	E. coli	respiratory	1401	1411	577	0	0	0	0	0	0	0	0	0
32	E. coli	urine	1401	1411	2985	0	0	0	0	0	2	0	0	1
32	E. coli	stool	1401	1411	117	0	0	0	0	0	0	0	0	0
32	E. coli	blood	1401	1411	364	0	0	0	0	0	0	0	0	0
32	E. coli	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
12	K. pneumoniae	respiratory	1401	1411	2511	1	0	18	10	1	5	0	0	0
12	K. pneumoniae	urine	1401	1411	1569	0	4	5	0	0	1	0	0	0
12	K. pneumoniae	stool	1401	1411	423	0	0	19	0	0	1	0	0	0
12	K. pneumoniae	blood	1401	1411	497	0	0	5	0	0	1	0	0	0
12	K. pneumoniae	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
3	K. pneumoniae	respiratory	1401	1411	680	0	0	0	0	0	1	0	0	0
3	K. pneumoniae	urine	1401	1411	404	0	0	0	0	1	2	0	0	0
3	K. pneumoniae	stool	1401	1411	105	0	1	0	0	0	0	0	0	0
3	K. pneumoniae	blood	1401	1411	114	0	0	0	0	0	0	0	0	0
3	K. pneumoniae	spinal	1401	1411	3	0	0	0	0	0	0	0	0	0
16	K. pneumoniae	respiratory	1401	1411	922	0	0	0	0	1	5	0	0	0
16	K. pneumoniae	urine	1401	1411	261	0	0	0	0	0	2	0	0	0
16	K. pneumoniae	stool	1401	1411	11	0	0	0	0	0	0	0	0	0
16	K. pneumoniae	blood	1401	1411	92	0	0	0	0	0	0	0	0	0
16	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
24	K. pneumoniae	respiratory	1401	1411	882	0	0	4	0	3	5	0	0	0
24	K. pneumoniae	urine	1401	1411	461	0	1	2	0	0	1	0	0	0
24	K. pneumoniae	stool	1401	1411	236	1	1	0	0	1	0	0	0	0
24	K. pneumoniae	blood	1401	1411	114	0	0	1	0	0	1	0	0	0
24	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
2	K. pneumoniae	respiratory	1401	1411	753	0	0	0	0	1	0	0	0	0
2	K. pneumoniae	urine	1401	1411	537	0	0	0	0	0	1	0	0	0
2	K. pneumoniae	stool	1401	1411	13	0	0	0	0	0	0	0	0	0
2	K. pneumoniae	blood	1401	1411	129	0	0	0	0	0	0	0	0	0
2	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
45	K. pneumoniae	respiratory	1401	1411	601	0	3	0	0	0	0	0	0	0
45	K. pneumoniae	urine	1401	1411	242	0	2	0	0	1	0	0	0	0
45	K. pneumoniae	stool	1401	1411	22	0	0	0	0	0	0	0	0	0
45	K. pneumoniae	blood	1401	1411	71	0	0	0	1	0	0	0	0	0
45	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
8	K. pneumoniae	respiratory	1401	1411	741	0	3	0	0	0	2	0	0	0
8	K. pneumoniae	urine	1401	1411	283	0	0	0	0	0	0	0	0	0
8	K. pneumoniae	stool	1401	1411	27	0	1	0	1	0	0	0	0	0
8	K. pneumoniae	blood	1401	1411	86	0	0	0	0	0	0	0	0	0
8	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
14	K. pneumoniae	respiratory	1401	1411	1302	0	1	0	0	0	0	0	0	0
14	K. pneumoniae	urine	1401	1411	625	0	0	0	0	0	5	0	0	0
14	K. pneumoniae	stool	1401	1411	78	0	0	0	0	0	0	0	0	0
14	K. pneumoniae	blood	1401	1411	228	0	0	0	0	0	0	0	0	0
14	K. pneumoniae	spinal	1401	1411	4	0	0	0	0	0	0	0	0	0
39	K. pneumoniae	respiratory	1401	1411	677	0	0	0	0	0	2	0	0	0
39	K. pneumoniae	urine	1401	1411	402	0	1	0	1	0	0	0	0	0
39	K. pneumoniae	stool	1401	1411	41	0	0	0	0	0	0	0	0	0
39	K. pneumoniae	blood	1401	1411	150	0	0	0	0	0	0	0	0	0
39	K. pneumoniae	spinal	1401	1411	1	0	0	0	0	0	0	0	0	0
10	K. pneumoniae	respiratory	1401	1411	1400	0	1	0	0	5	4	0	0	0
10	K. pneumoniae	urine	1401	1411	508	0	0	0	0	1	3	0	0	0
10	K. pneumoniae	stool	1401	1411	76	0	0	0	1	0	0	0	0	0
10	K. pneumoniae	blood	1401	1411	151	0	0	0	0	0	0	0	0	0
10	K. pneumoniae	spinal	1401	1411	0	0	0	0	0	0	0	0	0	0
35	K. pneumoniae	respiratory	1401	1411	1957	0	3	0	0	1	4	0	0	0
35	K. pneumoniae	urine	1401	1411	1065	0	1	0	0	0	5	0	0	0
35	K. pneumoniae	stool	1401	1411	133	0	4	0	0	0	1	0	0	0
35	K. pneumoniae	blood	1401	1411	390	1	4	0	0	1	0	0	0	0
35	K. pneumoniae	spinal	1401	1411	2	0	0	0	0	0	0	0	0	0
4	K. pneumoniae	respiratory	1401	1411	2063	0	1	0	1	0	3	0	0	0
4	K. pneumoniae	urine	1401	1411	1264	0	1	0	0	1	1	0	0	0
4	K. pneumoniae	stool	1401	1411	138	0	0	0	0	0	1	0	0	0
