prefecture	species	specimen_type	drug1	drug2	drug3	RRR	RRS	RSR	RSS	SRR	SRS	SSR	SSS
6	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	9
6	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	71
6	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
47	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	26
47	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	138
47	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	6
47	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	18
47	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
26	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	2	503
26	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	14	2797
26	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	2	281
26	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	345
26	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
9	E. coli	respiratory	1401	1411	2601	0	0	0	1	0	0	2	325
9	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	8	1029
9	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	95
9	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	178
9	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
38	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	282
38	E. coli	urine	1401	1411	2601	0	1	0	1	0	1	1	1098
38	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	58
38	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	153
38	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
1	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	4	1501
1	E. coli	urine	1401	1411	2601	0	0	0	0	0	1	13	4494
1	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	5	932
1	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	875
1	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	4
23	E. coli	respiratory	1401	1411	2601	1	0	0	0	0	1	1	261
23	E. coli	urine	1401	1411	2601	0	0	0	0	0	7	10	1381
23	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	376
23	E. coli	blood	1401	1411	2601	0	0	0	0	0	1	1	186
23	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
36	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	248
36	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	3	861
36	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	1	70
36	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	170
36	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
22	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	220
22	E. coli	urine	1401	1411	2601	0	0	1	1	0	0	4	1449
22	E. coli	stool	1401	1411	2601	0	0	0	0	0	2	0	25
22	E. coli	blood	1401	1411	2601	0	1	0	0	0	0	0	211
22	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
33	E. coli	respiratory	1401	1411	2601	0	0	0	1	0	21	5	1431
33	E. coli	urine	1401	1411	2601	0	2	0	0	0	23	15	4981
33	E. coli	stool	1401	1411	2601	0	2	0	0	0	12	1	875
33	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	2	911
33	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
13	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	10	758
13	E. coli	urine	1401	1411	2601	0	1	0	2	0	9	31	3675
13	E. coli	stool	1401	1411	2601	0	0	0	0	0	1	3	206
13	E. coli	blood	1401	1411	2601	0	0	0	1	0	3	5	630
13	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	4
28	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	146
28	E. coli	urine	1401	1411	2601	0	0	0	0	0	5	5	715
28	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	12
28	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	107
28	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
44	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	188
44	E. coli	urine	1401	1411	2601	0	0	0	1	0	2	1	629
44	E. coli	stool	1401	1411	2601	0	1	0	0	0	0	0	134
44	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	96
44	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
42	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	163
42	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	5	543
42	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	19
42	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	79
42	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
37	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	0	110
37	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	0	374
37	E. coli	stool	1401	1411	2601	0	0	0	0	0	0	0	25
37	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	46
37	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
31	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	0	1	478
31	E. coli	urine	1401	1411	2601	0	0	0	1	0	1	9	1958
31	E. coli	stool	1401	1411	2601	0	0	0	0	0	2	0	374
31	E. coli	blood	1401	1411	2601	0	0	0	0	0	1	0	304
31	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	2
11	E. coli	respiratory	1401	1411	2601	0	0	0	0	0	1	1	536
11	E. coli	urine	1401	1411	2601	0	0	0	1	2	10	3	2644
11	E. coli	stool	1401	1411	2601	0	2	0	0	0	1	0	207
11	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	0	349
11	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	2
46	E. coli	respiratory	1401	1411	2601	0	1	0	0	0	0	1	427
46	E. coli	urine	1401	1411	2601	0	0	0	0	0	0	5	1195
46	E. coli	stool	1401	1411	2601	0	0	0	1	0	0	3	376
46	E. coli	blood	1401	1411	2601	0	0	0	0	0	0	1	113
46	E. coli	spinal	1401	1411	2601	0	0	0	0	0	0	0	0
